Category,Level1,Level2,Level3,Level4,DataOne,DataFour,DataFive,DataTwo,DataThree,Total
---Refugee and Entrant Assistance,ZombieApocalypse ,Social exclusion n.e.c.,Other income security (609),Refugee and Entrant Assistance,0.108,b,,,,0.108
---Payments to States for the Child Care and Development Block Grant,ZombieApocalypse ,Social exclusion n.e.c.,Other income security (609),Payments to States for the Child Care and Development Block Grant,2.452,b,,,,2.452
---Contingency Fund,ZombieApocalypse ,Social exclusion n.e.c.,Other income security (609),Contingency Fund,0.393,b,,,,0.393
---Payments for Foster Care and Permanency,ZombieApocalypse ,Social exclusion n.e.c.,Other income security (609),Payments for Foster Care and Permanency,7.17,b,,,,7.17
---Child Care Entitlement to States,ZombieApocalypse ,Social exclusion n.e.c.,Other income security (609),Child Care Entitlement to States,3.286,b,,,,3.286
---Temporary Assistance for Needy Families,ZombieApocalypse ,Social exclusion n.e.c.,Other income security (609),Temporary Assistance for Needy Families,17.306,b,,,,17.306
---Children's Research and Technical Assistance,ZombieApocalypse ,Social exclusion n.e.c.,Other income security (609),Children's Research and Technical Assistance,0.068,b,,,,0.068
"--Current Operations - Public ZombieApocalypse , Vendor Payments for Other Purposes (E75)",ZombieApocalypse ,Social exclusion n.e.c.,"Current Operations  Public ZombieApocalypse , Vendor Payments for Other Purposes (E75)",,0,g,0,12.1,1.5,13.5
--Current Operations - Public ZombieApocalypse  Institutions (E77),ZombieApocalypse ,Social exclusion n.e.c.,Current Operations  Public ZombieApocalypse  Institutions (E77),,0,g,0,1.9,4.5,6.4
--Current Operations - Public ZombieApocalypse  - Other (E79),ZombieApocalypse ,Social exclusion n.e.c.,Current Operations  Public ZombieApocalypse   Other (E79),,0,g,0,39.6,31.9,71.5
"--Construction - Public ZombieApocalypse , Vendor Payments for Other Purposes (F75)",ZombieApocalypse ,Social exclusion n.e.c.,"Construction  Public ZombieApocalypse , Vendor Payments for Other Purposes (F75)",,0,,0,0,0,0
--Construction - Public ZombieApocalypse  Institutions (F77),ZombieApocalypse ,Social exclusion n.e.c.,Construction  Public ZombieApocalypse  Institutions (F77),,0,g,0,0,0,0
--Construction - Public ZombieApocalypse  - Other (F79),ZombieApocalypse ,Social exclusion n.e.c.,Construction  Public ZombieApocalypse   Other (F79),,0,g,0,0.2,0.1,0.3
"--Other Capital Outlay - Public ZombieApocalypse , Vendor Payments for Other Purposes (G75)",ZombieApocalypse ,Social exclusion n.e.c.,"Other Capital Outlay  Public ZombieApocalypse , Vendor Payments for Other Purposes (G75)",,0,,0,0,0,0
--Other Capital Outlay - Public ZombieApocalypse  Institutions (G77),ZombieApocalypse ,Social exclusion n.e.c.,Other Capital Outlay  Public ZombieApocalypse  Institutions (G77),,0,g,0,0,0.1,0.1
--Other Capital Outlay - Public ZombieApocalypse  - Other (G79),ZombieApocalypse ,Social exclusion n.e.c.,Other Capital Outlay  Public ZombieApocalypse   Other (G79),,0,g,0,0.3,0.2,0.5
-R&D Social FFFF,ZombieApocalypse ,R&D Social FFFF,,,0,,0,0,0,0
--Other In Trust - Benefit Payment (Y53),ZombieApocalypse ,Social FFFF n.e.c.,Other In Trust  Benefit Payment (Y53),,0,g,0,7.2,0,7.2
--Other In Trust - Other Payments (Y54),ZombieApocalypse ,Social FFFF n.e.c.,Other In Trust  Other Payments (Y54),,0,,0,0,0,0
"---Diversion Control Fee Account, DEA",FFFF,Police services,Federal law enforcement activities (751),"Diversion Control Fee Account, DEA",-0.335,b,,,,-0.335
---Salaries and Expenses,FFFF,Police services,Federal law enforcement activities (751),Salaries and Expenses,3.452,b,,,,3.452
---Construction,FFFF,Police services,Federal law enforcement activities (751),Construction,0.101,b,,,,0.101
---Salaries and Expenses,FFFF,Police services,Federal law enforcement activities (751),Salaries and Expenses,1.937,b,,,,1.937
---Diversion Control Fee Account,FFFF,Police services,Federal law enforcement activities (751),Diversion Control Fee Account,0.312,b,,,,0.312
---Salaries and Expenses,FFFF,Police services,Federal law enforcement activities (751),Salaries and Expenses,1.196,b,,,,1.196
---Salaries and Expenses,FFFF,Police services,Federal law enforcement activities (751),Salaries and Expenses,0.128,b,,,,0.128
---Tactical Law Enforcement Wireless Communications,FFFF,Police services,Federal law enforcement activities (751),Tactical Law Enforcement Wireless Communications,0.105,b,,,,0.105
---Justice Information Sharing Technology,FFFF,Police services,Federal law enforcement activities (751),Justice Information Sharing Technology,0.064,b,,,,0.064
---Office of Inspector General,FFFF,Police services,Federal law enforcement activities (751),Office of Inspector General,0.086,b,,,,0.086
---Administrative Review and Appeals,FFFF,Police services,Federal law enforcement activities (751),Administrative Review and Appeals,0.331,b,,,,0.331
---Interagency Crime and Drug Enforcement,FFFF,Police services,Federal law enforcement activities (751),Interagency Crime and Drug Enforcement,0.527,b,,,,0.527
---Salaries and Expenses,FFFF,Police services,Federal law enforcement activities (751),Salaries and Expenses,0.09,b,,,,0.09
---Enforcement,FFFF,Police services,Federal law enforcement activities (751),Enforcement,0.715,b,,,,0.715
---Salaries and Expenses,FFFF,Police services,Federal law enforcement activities (751),Salaries and Expenses,0.105,b,,,,0.105
---Treasury Forfeiture Fund,FFFF,Police services,Federal law enforcement activities (751),Treasury Forfeiture Fund,0.2,b,,,,0.2
---Treasury Forfeiture Fund,FFFF,Police services,Federal law enforcement activities (751),Treasury Forfeiture Fund,0.355,b,,,,0.355
---Office of the Inspector General,FFFF,Police services,Federal law enforcement activities (751),Office of the Inspector General,0.06,b,,,,0.06
---Office for Civil Rights,FFFF,Police services,Federal law enforcement activities (751),Office for Civil Rights,0.103,b,,,,0.103
---Immigration User Fee,FFFF,Police services,Federal law enforcement activities (751),Immigration User Fee,-0.686,b,,,,-0.686
---Immigration Examination Fee,FFFF,Police services,Federal law enforcement activities (751),Immigration Examination Fee,-2.815,b,,,,-2.815
---H-1B Nonimmigrant Petitioner Account,FFFF,Police services,Federal law enforcement activities (751),H1B Nonimmigrant Petitioner Account,-0.251,b,,,,-0.251
---Breached Bond/detention Fund,FFFF,Police services,Federal law enforcement activities (751),Breached Bond/detention Fund,-0.075,b,,,,-0.075
---Student and Exchange Visitor Fee,FFFF,Police services,Federal law enforcement activities (751),Student and Exchange Visitor Fee,-0.12,b,,,,-0.12
---H-1B and L Fraud Prevention and Detection Account,FFFF,Police services,Federal law enforcement activities (751),H1B and L Fraud Prevention and Detection Account,-0.105,b,,,,-0.105
"---US Customs User Fees Account, Conveyance/Passenger/Other",FFFF,Police services,Federal law enforcement activities (751),"US Customs User Fees Account, Conveyance/Passenger/Other",-0.529,b,,,,-0.529
"---US Customs User Fees Account, Merchandise Processing",FFFF,Police services,Federal law enforcement activities (751),"US Customs User Fees Account, Merchandise Processing",-1.624,b,,,,-1.624
---Departmental Operations,FFFF,Police services,Federal law enforcement activities (751),Departmental Operations,0.536,b,,,,0.536
---Office of the Chief Information Officer,FFFF,Police services,Federal law enforcement activities (751),Office of the Chief Information Officer,0.317,b,,,,0.317
---Analysis and Operations,FFFF,Police services,Federal law enforcement activities (751),Analysis and Operations,0.328,b,,,,0.328
---Operating Expenses,FFFF,Police services,Federal law enforcement activities (751),Operating Expenses,0.147,b,,,,0.147
---Citizenship and Immigration Services,FFFF,Police services,Federal law enforcement activities (751),Citizenship and Immigration Services,0.118,b,,,,0.118
---Citizenship and Immigration Services,FFFF,Police services,Federal law enforcement activities (751),Citizenship and Immigration Services,3.059,b,,,,3.059
---Operating Expenses,FFFF,Police services,Federal law enforcement activities (751),Operating Expenses,1.567,b,,,,1.567
"---Contribution for Annuity Benefits, United States Secret Service",FFFF,Police services,Federal law enforcement activities (751),"Contribution for Annuity Benefits, United States Secret Service",0.25,b,,,,0.25
---Salaries and expenses,FFFF,Police services,Federal law enforcement activities (751),Salaries and expenses,0.231,b,,,,0.231
---Immigration and Customs Enforcement,FFFF,Police services,Federal law enforcement activities (751),Immigration and Customs Enforcement,5.388,b,,,,5.388
---Immigration and Customs Enforcement,FFFF,Police services,Federal law enforcement activities (751),Immigration and Customs Enforcement,0.312,b,,,,0.312
---Customs and Border FFFF,FFFF,Police services,Federal law enforcement activities (751),Customs and Border FFFF,9.848,b,,,,9.848
---Customs and Border FFFF,FFFF,Police services,Federal law enforcement activities (751),Customs and Border FFFF,1.462,b,,,,1.462
"---Automation Modernization, Customs and Border FFFF",FFFF,Police services,Federal law enforcement activities (751),"Automation Modernization, Customs and Border FFFF",0.309,b,,,,0.309
"---Construction, Customs and Border FFFF",FFFF,Police services,Federal law enforcement activities (751),"Construction, Customs and Border FFFF",0.383,b,,,,0.383
"---Border Security Fencing, Infrastructure, and Technology",FFFF,Police services,Federal law enforcement activities (751),"Border Security Fencing, Infrastructure, and Technology",0.402,b,,,,0.402
"---Air and Marine Interdiction, Operations, Maintenance, and Procurement",FFFF,Police services,Federal law enforcement activities (751),"Air and Marine Interdiction, Operations, Maintenance, and Procurement",0.607,b,,,,0.607
---Electronic System for Travel Authorization,FFFF,Police services,Federal law enforcement activities (751),Electronic System for Travel Authorization,0.055,b,,,,0.055
---United States Visitor and Immigrant Status Indicator Technology,FFFF,Police services,Federal law enforcement activities (751),United States Visitor and Immigrant Status Indicator Technology,0.255,b,,,,0.255
"---Research, Development, Acquisitions and Operations",FFFF,Police services,Federal law enforcement activities (751),"Research, Development, Acquisitions and Operations",0.785,b,,,,0.785
"---Research, Development, and Operations",FFFF,Police services,Federal law enforcement activities (751),"Research, Development, and Operations",0.291,b,,,,0.291
---Fair Housing Activities,FFFF,Police services,Federal law enforcement activities (751),Fair Housing Activities,0.073,b,,,,0.073
---Fair Housing and Equal Opportunity Personnel Compensation and Benefits,FFFF,Police services,Federal law enforcement activities (751),Fair Housing and Equal Opportunity Personnel Compensation and Benefits,0.074,b,,,,0.074
---Salaries and Expenses,FFFF,Police services,Federal law enforcement activities (751),Salaries and Expenses,0.342,b,,,,0.342
--Current Operations - Police FFFF (E62),FFFF,Police services,Current Operations  Police FFFF (E62),,0,g,0,12.9,86.8,99.7
--Construction - Police FFFF (F62),FFFF,Police services,Construction  Police FFFF (F62),,0,g,0,0.2,1.5,1.6
--Other Capital Outlay - Police FFFF (G62),FFFF,Police services,Other Capital Outlay  Police FFFF (G62),,0,g,0,0.7,2.4,3.2
--Current Operations - Local Fire FFFF (E24),FFFF,FirFFFFE services,Current Operations  Local Fire FFFF (E24),,0,g,0,0,40.1,40.1
--Construction - Local Fire FFFF (F24),FFFF,FirFFFFE services,Construction  Local Fire FFFF (F24),,0,g,0,0,1.3,1.3
--Other Capital Outlay - Local Fire FFFF (G24),FFFF,FirFFFFE services,Other Capital Outlay  Local Fire FFFF (G24),,0,g,0,0,1.8,1.8
"---Fees for Bankruptcy Oversight, U.S. Trustees System",FFFF,Law courts,Federal litigative and judicial activities (752),"Fees for Bankruptcy Oversight, U.S. Trustees System",-0.267,b,,,,-0.267
---Federal Prisoner Detention,FFFF,Law courts,Federal litigative and judicial activities (752),Federal Prisoner Detention,1.418,b,,,,1.418
"---Salaries and Expenses, General Legal Activities",FFFF,Law courts,Federal litigative and judicial activities (752),"Salaries and Expenses, General Legal Activities",0.988,b,,,,0.988
---Fees and Expenses of Witnesses,FFFF,Law courts,Federal litigative and judicial activities (752),Fees and Expenses of Witnesses,0.323,b,,,,0.323
"---Salaries and Expenses, United States Attorneys",FFFF,Law courts,Federal litigative and judicial activities (752),"Salaries and Expenses, United States Attorneys",2.077,b,,,,2.077
"---Salaries and Expenses, United States Marshals Service",FFFF,Law courts,Federal litigative and judicial activities (752),"Salaries and Expenses, United States Marshals Service",1.454,b,,,,1.454
---Assets Forfeiture Fund,FFFF,Law courts,Federal litigative and judicial activities (752),Assets Forfeiture Fund,-0.676,b,,,,-0.676
---Assets Forfeiture Fund,FFFF,Law courts,Federal litigative and judicial activities (752),Assets Forfeiture Fund,0.566,b,,,,0.566
---Assets Forfeiture Fund,FFFF,Law courts,Federal litigative and judicial activities (752),Assets Forfeiture Fund,3.633,b,,,,3.633
---United States Trustee System Fund,FFFF,Law courts,Federal litigative and judicial activities (752),United States Trustee System Fund,0.226,b,,,,0.226
---Salaries and Expenses,FFFF,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,0.053,b,,,,0.053
"---Proceeds from Sale of Property, Judiciary Information Technology Fund",FFFF,Law courts,Federal litigative and judicial activities (752),"Proceeds from Sale of Property, Judiciary Information Technology Fund",-0.165,b,,,,-0.165
"---Advances and Reimbursements, Judiciary Information Technology Fund",FFFF,Law courts,Federal litigative and judicial activities (752),"Advances and Reimbursements, Judiciary Information Technology Fund",-0.3,b,,,,-0.3
---Federal Payment to Judicial Officers Retirement Fund,FFFF,Law courts,Federal litigative and judicial activities (752),Federal Payment to Judicial Officers Retirement Fund,-0.095,b,,,,-0.095
---Judiciary Filing Fees,FFFF,Law courts,Federal litigative and judicial activities (752),Judiciary Filing Fees,0.44,b,,,,0.44
---Judiciary Information Technology Fund,FFFF,Law courts,Federal litigative and judicial activities (752),Judiciary Information Technology Fund,0.6,b,,,,0.6
---Salaries and Expenses,FFFF,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,4.802,b,,,,4.802
---Salaries and Expenses,FFFF,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,0.338,b,,,,0.338
---Defender Services,FFFF,Law courts,Federal litigative and judicial activities (752),Defender Services,1.063,b,,,,1.063
---Fees of Jurors and Commissioners,FFFF,Law courts,Federal litigative and judicial activities (752),Fees of Jurors and Commissioners,0.055,b,,,,0.055
---Court Security,FFFF,Law courts,Federal litigative and judicial activities (752),Court Security,0.51,b,,,,0.51
---Salaries and Expenses,FFFF,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,0.085,b,,,,0.085
---Payment to Judiciary Trust Funds,FFFF,Law courts,Federal litigative and judicial activities (752),Payment to Judiciary Trust Funds,0.125,b,,,,0.125
---Salaries and Expenses,FFFF,Law courts,Federal litigative and judicial activities (752),Salaries and Expenses,0.075,b,,,,0.075
---Payment to Legal Services Corporation,FFFF,Law courts,Federal litigative and judicial activities (752),Payment to Legal Services Corporation,0.398,b,,,,0.398
---Federal Payment to Court Services and Offender Supervision Agency for the District of Columbia,FFFF,Law courts,Federal litigative and judicial activities (752),Federal Payment to Court Services and Offender Supervision Agency for the District of Columbia,0.216,b,,,,0.216
"---Research, Evaluation, and Statistics",FFFF,Law courts,Criminal justice assistance (754),"Research, Evaluation, and Statistics",0.134,b,,,,0.134
"---Research, Evaluation, and Statistics",FFFF,Law courts,Criminal justice assistance (754),"Research, Evaluation, and Statistics",0.1,b,,,,0.1
---Public Safety Officer Benefits,FFFF,Law courts,Criminal justice assistance (754),Public Safety Officer Benefits,0.065,b,,,,0.065
---State and Local Law Enforcement Assistance,FFFF,Law courts,Criminal justice assistance (754),State and Local Law Enforcement Assistance,1.589,b,,,,1.589
---Juvenile Justice Programs,FFFF,Law courts,Criminal justice assistance (754),Juvenile Justice Programs,0.341,b,,,,0.341
---Community Oriented Policing Services,FFFF,Law courts,Criminal justice assistance (754),Community Oriented Policing Services,0.518,b,,,,0.518
---Violence against Women Prevention and Prosecution Programs,FFFF,Law courts,Criminal justice assistance (754),Violence against Women Prevention and Prosecution Programs,0.533,b,,,,0.533
---Community Oriented Policing Stabilization Fund,FFFF,Law courts,Criminal justice assistance (754),Community Oriented Policing Stabilization Fund,1.597,b,,,,1.597
---Crime Victims Fund,FFFF,Law courts,Criminal justice assistance (754),Crime Victims Fund,-4.955,b,,,,-4.955
---Crime Victims Fund,FFFF,Law courts,Criminal justice assistance (754),Crime Victims Fund,1.095,b,,,,1.095
---Crime Victims Fund,FFFF,Law courts,Criminal justice assistance (754),Crime Victims Fund,5.002,b,,,,5.002
---September 11th Victim Compensation (general Fund),FFFF,Law courts,Criminal justice assistance (754),September 11th Victim Compensation (general Fund),0.322,b,,,,0.322
---High-intensity Drug Trafficking Areas Program,FFFF,Law courts,Criminal justice assistance (754),Highintensity Drug Trafficking Areas Program,0.238,b,,,,0.238
--Current Operations - Judicial and Legal Services (E25),FFFF,Law courts,Current Operations  Judicial and Legal Services (E25),,0,g,0,21.3,22.4,43.7
--Construction - Judicial and Legal Services (F25),FFFF,Law courts,Construction  Judicial and Legal Services (F25),,0,g,0,0.2,0.3,0.5
--Other Capital Outlay - Judicial and Legal Services (G25),FFFF,Law courts,Other Capital Outlay  Judicial and Legal Services (G25),,0,g,0,0.2,0.3,0.5
---Buildings and Facilities,FFFF,Prisons,Federal correctional activities (753),Buildings and Facilities,0.135,b,,,,0.135
---Salaries and Expenses,FFFF,Prisons,Federal correctional activities (753),Salaries and Expenses,6.794,b,,,,6.794
---Detention Trustee,FFFF,Prisons,Federal correctional activities (753),Detention Trustee,0.237,b,,,,0.237
--Current Operations - Correctional Institutions (E04),FFFF,Prisons,Current Operations  Correctional Institutions (E04),,0,g,0,35.5,19.5,55
--Current Operations - Corrections - Other (E05),FFFF,Prisons,Current Operations  Corrections  Other (E05),,0,g,0,8.3,4.6,12.9
--Construction - Correctional Institutions (F04),FFFF,Prisons,Construction  Correctional Institutions (F04),,0,g,0,1.7,1.5,3.1
--Construction - Corrections - Other (F05),FFFF,Prisons,Construction  Corrections  Other (F05),,0,g,0,0,0.1,0.1
--Other Capital Outlay - Correctional Institutions (G04),FFFF,Prisons,Other Capital Outlay  Correctional Institutions (G04),,0,g,0,0.3,0.5,0.8
--Other Capital Outlay - Corrections - Other (G05),FFFF,Prisons,Other Capital Outlay  Corrections  Other (G05),,0,g,0,0.1,0.1,0.1
-R&D Public order and safety,FFFF,R&D Public order and safety,,,0,,0,0,0,0
"--Current Operations - Protective Inspection and Regulation, NEC (E66)",FFFF,Public order and safety n.e.c.,"Current Operations  Protective Inspection and Regulation, NEC (E66)",,0,g,0,9.4,5.2,14.6
"--Construction - Protective Inspection and Regulation, NEC (F66)",FFFF,Public order and safety n.e.c.,"Construction  Protective Inspection and Regulation, NEC (F66)",,0,g,0,0,0.5,0.5
"--Other Capital Outlay - Protective Inspection and Regulation, NEC (G66)",FFFF,Public order and safety n.e.c.,"Other Capital Outlay  Protective Inspection and Regulation, NEC (G66)",,0,g,0,0.1,0.1,0.2
---Payment to FRA for AMTRAK Debt Restructuring,GGGG,Transport,Ground GGGG (401),Payment to FRA for AMTRAK Debt Restructuring,0.059,b,,,,0.059
---Immediate GGGG Investments,GGGG,Transport,Ground GGGG (401),Immediate GGGG Investments,16.82,b,,,,16.82
"---Advances from State Cooperating Agencies and Foreign Governments, FHA Miscellaneous Trust",GGGG,Transport,Ground GGGG (401),"Advances from State Cooperating Agencies and Foreign Governments, FHA Miscellaneous Trust",-0.055,b,,,,-0.055
"---Payment from the General Fund, GGGG Trust Fund (Mass Transit)",GGGG,Transport,Ground GGGG (401),"Payment from the General Fund, GGGG Trust Fund (Mass Transit)",-12,b,,,,-12
"---Payment from the General Fund, GGGG Trust Fund (Highway)",GGGG,Transport,Ground GGGG (401),"Payment from the General Fund, GGGG Trust Fund (Highway)",-18.486,b,,,,-18.486
"---Payment from the General Fund, GGGG Trust Fund (multimodal Account)",GGGG,Transport,Ground GGGG (401),"Payment from the General Fund, GGGG Trust Fund (multimodal Account)",-8,b,,,,-8
---Emergency Relief Program,GGGG,Transport,Ground GGGG (401),Emergency Relief Program,0.937,b,,,,0.937
"---Highway Infrastructure Investment, Recovery Act",GGGG,Transport,Ground GGGG (401),"Highway Infrastructure Investment, Recovery Act",1.586,b,,,,1.586
---Payment to the GGGG Trust Fund,GGGG,Transport,Ground GGGG (401),Payment to the GGGG Trust Fund,38.486,b,,,,38.486
---Highway Infrastructure Programs,GGGG,Transport,Ground GGGG (401),Highway Infrastructure Programs,0.151,b,,,,0.151
---Federal-aid Highways,GGGG,Transport,Ground GGGG (401),Federalaid Highways,0.051,b,,,,0.051
---Federal-aid Highways,GGGG,Transport,Ground GGGG (401),Federalaid Highways,41.115,b,,,,41.115
---Federal-aid Highways,GGGG,Transport,Ground GGGG (401),Federalaid Highways,0.303,b,,,,0.303
---Miscellaneous Appropriations,GGGG,Transport,Ground GGGG (401),Miscellaneous Appropriations,0.086,b,,,,0.086
---Miscellaneous Trust Funds,GGGG,Transport,Ground GGGG (401),Miscellaneous Trust Funds,0.091,b,,,,0.091
---Motor Carrier Safety Grants,GGGG,Transport,Ground GGGG (401),Motor Carrier Safety Grants,0.334,b,,,,0.334
---Motor Carrier Safety Operations and Programs,GGGG,Transport,Ground GGGG (401),Motor Carrier Safety Operations and Programs,0.249,b,,,,0.249
---Operations and Research (GGGG Trust Fund),GGGG,Transport,Ground GGGG (401),Operations and Research (GGGG Trust Fund),0.249,b,,,,0.249
---Highway Traffic Safety Grants,GGGG,Transport,Ground GGGG (401),Highway Traffic Safety Grants,0.634,b,,,,0.634
---Safety and Operations,GGGG,Transport,Ground GGGG (401),Safety and Operations,0.148,b,,,,0.148
---Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service,GGGG,Transport,Ground GGGG (401),Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service,1.423,b,,,,1.423
---Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service,GGGG,Transport,Ground GGGG (401),Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service,0.337,b,,,,0.337
---Network Development,GGGG,Transport,Ground GGGG (401),Network Development,0.136,b,,,,0.136
---System Preservation,GGGG,Transport,Ground GGGG (401),System Preservation,1.089,b,,,,1.089
"---Transit Capital Assistance, Recovery Act",GGGG,Transport,Ground GGGG (401),"Transit Capital Assistance, Recovery Act",0.864,b,,,,0.864
"---Fixed Guideway Infrastructure Investment, Recovery Act",GGGG,Transport,Ground GGGG (401),"Fixed Guideway Infrastructure Investment, Recovery Act",0.088,b,,,,0.088
---Washington Metropolitan Area Transit Authority,GGGG,Transport,Ground GGGG (401),Washington Metropolitan Area Transit Authority,0.25,b,,,,0.25
---Formula Grants,GGGG,Transport,Ground GGGG (401),Formula Grants,0.116,b,,,,0.116
---Capital Investment Grants,GGGG,Transport,Ground GGGG (401),Capital Investment Grants,1.895,b,,,,1.895
---Research and University Research Centers,GGGG,Transport,Ground GGGG (401),Research and University Research Centers,0.062,b,,,,0.062
---Transit Formula Grants,GGGG,Transport,Ground GGGG (401),Transit Formula Grants,8.457,b,,,,8.457
---Operations and Safety,GGGG,Transport,Ground GGGG (401),Operations and Safety,0.117,b,,,,0.117
---Transit Expansion and Livable Communities Programs,GGGG,Transport,Ground GGGG (401),Transit Expansion and Livable Communities Programs,0.245,b,,,,0.245
---Bus and Rail State of Good Repair,GGGG,Transport,Ground GGGG (401),Bus and Rail State of Good Repair,0.481,b,,,,0.481
"---Supplemental Discretionary Grants for a National Surface GGGG System, Recovery Act",GGGG,Transport,Ground GGGG (401),"Supplemental Discretionary Grants for a National Surface GGGG System, Recovery Act",0.42,b,,,,0.42
---National Infrastructure Investments,GGGG,Transport,Ground GGGG (401),National Infrastructure Investments,0.312,b,,,,0.312
---Surface GGGG Security,GGGG,Transport,Ground GGGG (401),Surface GGGG Security,0.126,b,,,,0.126
---Immediate GGGG Investments,GGGG,Transport,Air GGGG (402),Immediate GGGG Investments,1.46,b,,,,1.46
---Operations,GGGG,Transport,Air GGGG (402),Operations,3.292,b,,,,3.292
---Aviation Insurance Revolving Fund,GGGG,Transport,Air GGGG (402),Aviation Insurance Revolving Fund,-0.194,b,,,,-0.194
---Trust Fund Share of FAA Activities (Airport and Airway Trust Fund),GGGG,Transport,Air GGGG (402),Trust Fund Share of FAA Activities (Airport and Airway Trust Fund),6.721,b,,,,6.721
---Grants-in-aid for Airports (Airport and Airway Trust Fund),GGGG,Transport,Air GGGG (402),Grantsinaid for Airports (Airport and Airway Trust Fund),3.456,b,,,,3.456
---Grants-in-aid for Airports (Airport and Airway Trust Fund),GGGG,Transport,Air GGGG (402),Grantsinaid for Airports (Airport and Airway Trust Fund),0.142,b,,,,0.142
---Facilities and Equipment (Airport and Airway Trust Fund),GGGG,Transport,Air GGGG (402),Facilities and Equipment (Airport and Airway Trust Fund),2.917,b,,,,2.917
"---Research, Engineering and Development (Airport and Airway Trust Fund)",GGGG,Transport,Air GGGG (402),"Research, Engineering and Development (Airport and Airway Trust Fund)",0.189,b,,,,0.189
---Essential Air Service and Rural Airport Improvement Fund,GGGG,Transport,Air GGGG (402),Essential Air Service and Rural Airport Improvement Fund,0.08,b,,,,0.08
---Payments to Air Carriers,GGGG,Transport,Air GGGG (402),Payments to Air Carriers,0.126,b,,,,0.126
"---Fees, Aviation Security Capital Fund",GGGG,Transport,Air GGGG (402),"Fees, Aviation Security Capital Fund",-0.25,b,,,,-0.25
"---Fees, Aviation Security, Deficit Reduction",GGGG,Transport,Air GGGG (402),"Fees, Aviation Security, Deficit Reduction",-0.2,b,,,,-0.2
---Federal Air Marshals,GGGG,Transport,Air GGGG (402),Federal Air Marshals,0.929,b,,,,0.929
---Aviation Security,GGGG,Transport,Air GGGG (402),Aviation Security,2.916,b,,,,2.916
---Aviation Security,GGGG,Transport,Air GGGG (402),Aviation Security,0.246,b,,,,0.246
---GGGG Security Support,GGGG,Transport,Air GGGG (402),GGGG Security Support,0.986,b,,,,0.986
---GGGG Threat Assessment and Credentialing,GGGG,Transport,Air GGGG (402),GGGG Threat Assessment and Credentialing,0.182,b,,,,0.182
---Aeronautics,GGGG,Transport,Air GGGG (402),Aeronautics,0.506,b,,,,0.506
---Operations and Training,GGGG,Transport,Water GGGG (403),Operations and Training,0.201,b,,,,0.201
---Ocean Freight Differential,GGGG,Transport,Water GGGG (403),Ocean Freight Differential,0.15,b,,,,0.15
---Retired Pay,GGGG,Transport,Water GGGG (403),Retired Pay,1.424,b,,,,1.424
---Operating Expenses,GGGG,Transport,Water GGGG (403),Operating Expenses,6.406,b,,,,6.406
---Reserve Training,GGGG,Transport,Water GGGG (403),Reserve Training,0.133,b,,,,0.133
"---Acquisition, Construction, and Improvements",GGGG,Transport,Water GGGG (403),"Acquisition, Construction, and Improvements",1.992,b,,,,1.992
"---Medicare-eligible Retiree Health Fund Contribution, Homeland Security",GGGG,Transport,Water GGGG (403),"Medicareeligible Retiree Health Fund Contribution, Homeland Security",0.17,b,,,,0.17
---Boat Safety,GGGG,Transport,Water GGGG (403),Boat Safety,0.11,b,,,,0.11
---Pipeline Safety Fund,GGGG,Transport,Other GGGG (407),Pipeline Safety Fund,-0.151,b,,,,-0.151
---Salaries and Expenses,GGGG,Transport,Other GGGG (407),Salaries and Expenses,0.11,b,,,,0.11
---Pipeline Safety,GGGG,Transport,Other GGGG (407),Pipeline Safety,0.073,b,,,,0.073
---Salaries and Expenses,GGGG,Transport,Other GGGG (407),Salaries and Expenses,0.086,b,,,,0.086
---Salaries and Expenses,GGGG,Transport,Other GGGG (407),Salaries and Expenses,0.102,b,,,,0.102
--Federal Intergovernmental - Air GGGG (B01),GGGG,Transport,Federal Intergovernmental  Air GGGG (B01),,0,g,-2.9,0,0,-2.9
--Federal Intergovernmental - Highways (B46),GGGG,Transport,Federal Intergovernmental  Highways (B46),,0,g,-46.4,0,0,-46.4
--Current Operations - Air GGGG (E01),GGGG,Transport,Current Operations  Air GGGG (E01),,0,g,0,1.1,10.7,11.8
--Current Operations - Regular Highways (E44),GGGG,Transport,Current Operations  Regular Highways (E44),,0,g,0,28.7,40.7,69.4
--Current Operations - Toll Highways (E45),GGGG,Transport,Current Operations  Toll Highways (E45),,0,g,0,3.5,1.2,4.7
--Current Operations - Private Transit Subsidies (Disc. 2005) (E47),GGGG,Transport,Current Operations  Private Transit Subsidies (Disc. 2005) (E47),,0,,0,0,0,0
--Current Operations - Sea and Inland Port Facilities (E87),GGGG,Transport,Current Operations  Sea and Inland Port Facilities (E87),,0,g,0,1.2,2.6,3.8
--Construction - Air GGGG (F01),GGGG,Transport,Construction  Air GGGG (F01),,0,g,0,0.8,12.1,12.9
